單字,美音,中文解釋,圖片,英文例句,中文翻譯
who,/huː/,誰,291.jpg,Who did this?,這是誰做的？
what,/wɑːt/,什麼,292.jpg,What books did you buy?,你買了甚麼書？
when,/wen/,何時,293.jpg,When are you going?,你甚麼時候走？
where,/wer/,哪裡,294.jpg,"""I put it on your desk."" ""Where? I can't see it.""",「我把它放在你書桌上了。」「在哪裡？我怎麼沒看到？」
which,/wɪtʃ/,哪一個,295.jpg,Which party would you prefer to go to - Anna's or Dan's ?,你更想去哪個聚會——安娜的還是丹的？
why,/waɪ/,為什麼,296.jpg,Why wait? Let's leave now.,為甚麼要等？我們現在就走吧。
what time,/wɑːt taɪm/,幾點,297.jpg,what time is it?,現在幾點了?
how,/haʊ/,如何、怎麼,298.jpg,How do we get to the town from here?,我們怎麼從這裡去城裡？
how old,/haʊ oʊld/,幾歲,299.jpg,how old are you?,你幾歲了?
how much,/haʊ mʌtʃ/,多少,300.jpg,how much does it cost?,這一共花了多少錢?
